tweet	time	tweet_id	lat	long
I guess we left SF in time cause the earthquake was probably bigger over there. I didn't feel anything here lol ????	 2014-08-24 10:29:42	97142520	37.27593478	-121.8133554
weak ass earthquake	 2014-08-24 10:29:36	2200609441	37.24019669	-121.860387
Ummm what the fuuuuck!!?? 1st time I'm home alone in forever and there is a mini earthquake?!? #NotFunny ???????¯	 2014-08-24 10:29:35	457319633	37.30068058	-121.9528648
Definitely just woke up to an earthquake	 2014-08-24 10:29:47	2560450824	37.23112676	-121.8331167
I'm shaking so bad from the earthquake I want to cry	 2014-08-24 10:30:07	347713923	37.35356102	-121.8425905
Love dem long #earthquakes. 6.0 in American Canyon and I felt it very well in San Jose. I've been rollin'...	 2014-08-24 10:30:10	7393392	37.25663076	-121.8291431
Pretty strong #earthquake shook me awake in Cupertino.	 2014-08-24 10:30:02	217951828	37.31531532	-122.0667433
Earthquake!	 2014-08-24 10:30:12	17928325	37.37204853	-121.9190724
Was that an earthquake few mins back?	 2014-08-24 10:30:32	37636664	37.32106119	-121.9985234
É??@riqsuave: É??@TCoookeeee: That was some scary shit smh just felt a earthquake !! Whole bed was moving ????É?ù you good? ????????É?ùyeah just in shock ????	 2014-08-24 10:30:37	756293178	37.35118013	-121.9731291
Of course my Twitter feed was faster to react than Google news for my sanity check about whether an #earthquake just woke me up.	 2014-08-24 10:30:43	19258511	37.06328666	-122.071058
É??@SFGate: Earthquake just felt in the Bay Area. @USGS reports it as outside American Canyon. Developing...É?ù@SportSXMichelle	 2014-08-24 10:31:15	1363176446	37.32101599	-122.0310352
So apparently there was just an earthquake. But I'm drunk so I didn't notice.	 2014-08-24 10:31:22	24852028	37.3381196	-121.864396
.@earthquakesSF: A 6.1 magnitude earthquake occurred 3.73mi WSW of American Canyon  California. Details: http://t.co/vTDvkDohFQ	 2014-08-24 10:31:18	10219502	37.27977499	-121.8801969
"If only dogs used Twitter  little buddy won't stop barking. #earthquake -- ""Twitter for Dogs"" ???≠"	 2014-08-24 10:31:29	277618799	37.35065807	-122.0581358
lw sad that i didnt feel the earthquake	 2014-08-24 10:31:36	1317864907	37.31704425	-121.7641501
"É??@earthquakesSF: A 6.1 magnitude earthquake occurred 3.73mi WSW of American Canyon  California."" Felt it in the South Bay...."	 2014-08-24 10:31:39	229289720	37.35174958	-121.8922433
My first #earthquake! Glad twitter confirmed it so I don't feel crazy anymore :)	 2014-08-24 10:32:08	16638146	37.31347854	-121.9489511
Earthquake!! Haven't had one of those in a while. Too soft to knock anything over though.	 2014-08-24 10:32:18	27815326	37.3545616	-121.881937
OMG 6.1?! So that's the earthquake that woke me... Epicenter near Vallejo  CA. http://t.co/76bs3gl6eA	 2014-08-24 10:32:11	54463831	37.31887582	-121.7813918
Anyone else just feel that #earthquake!? It woke me and @KaseyBabyyy up out of bed! Magnitude 6.2! #scary #HopeTheresNoAfterShocks	 2014-08-24 10:32:46	155614807	37.28578867	-121.9592918
Woke up to some shaking! #earthquake http://t.co/JpO0ukG3vR http://t.co/FwQHrYkle9	 2014-08-24 10:33:02	107654923	37.2992859	-121.9622544
Rocked awake by the #earthquake. That was a good one. @mattwagers never felt one before. too sleepy to remember what to do.	 2014-08-24 10:33:06	10426652	36.97061637	-122.0282142
Stupid quake wake up me now i can't go to sleep ????	 2014-08-24 10:32:57	1656467508	37.25312945	-121.8366639
OK  I guess I'll just get my Sunday started a little early #earthquake	 2014-08-24 10:33:06	26149168	37.36045359	-121.8397211
First earthquake since moving to CA! Pretty freaky when stuck on our 20th floor apartment!	 2014-08-24 10:33:50	91215601	37.32994278	-121.8870725
I didn't feel an earthquake	 2014-08-24 10:34:25	308860209	37.32959906	-121.8664002
thought there was a ghost in my room but it was just an earthquake ????	 2014-08-24 10:34:43	18384771	37.33128906	-121.8016286
I just felt and an earthquake now here in Sunnyvale and experienced it for the second time in my life...	 2014-08-24 10:34:31	140731497	37.35875399	-122.0194661
In hospital was woken up by the quake	 2014-08-24 10:34:33	86672294	37.37010409	-122.0809637
#Earthquake near Napa http://t.co/Lc5tfNaQ3i	 2014-08-24 10:34:54	147599631	37.2948434	-122.0292381
Give me an aftershock brah	 2014-08-24 10:35:14	1621019076	37.28481256	-121.9027518
damn that earthquake was sick #6.0	 2014-08-24 10:35:10	59349996	37.36534253	-122.0118965
It was a big one! 6.0 #earthquake in #Sunnyvale http://t.co/Aun00nwRM2	 2014-08-24 10:35:12	35851300	37.36153149	-122.0041305
